,category_code,p_code,p_group,kind_name_new,rank,unit,price
8524,AW_A00122,AW_A00122,양배추,양배추(8kg),상품,8kg,"9,660"
8525,AW_A00123,AW_A00123,양배추,양배추(8kg),중품,8kg,"9,160"
8526,AW_A00113,AW_A00113,시금치,시금치(4kg),상품,4kg,"12,500"
8527,AW_A00114,AW_A00114,시금치,시금치(4kg),중품,4kg,"10,500"
8528,AW_A00101,AW_A00101,상추,상추(적)(4kg),상품,4kg,"13,200"
8529,AW_A00102,AW_A00102,상추,상추(적)(4kg),중품,4kg,"11,200"
8530,AW_A00103,AW_A00103,상추,상추(청)(4kg),상품,4kg,"13,000"
8531,AW_A00104,AW_A00104,상추,상추(청)(4kg),중품,4kg,"10,000"
8532,AW_A00126,AW_A00126,얼갈이배추,얼갈이배추(4kg),상품,4kg,"5,250"
8533,AW_A00127,AW_A00127,얼갈이배추,얼갈이배추(4kg),중품,4kg,"4,250"
8534,AW_A00111,AW_A00111,수박,수박(1개),상품,1개,"22,400"
8535,AW_A00112,AW_A00112,수박,수박(1개),중품,1개,"17,400"
8536,AW_A00150,AW_A00150,참외,참외(10kg),상품,10kg,"66,200"
8537,AW_A00151,AW_A00151,참외,참외(10kg),중품,10kg,"61,200"
8538,AW_A00136,AW_A00136,오이,오이(다다기계통)(100개),상품,100개,"49,500"
8539,AW_A00137,AW_A00137,오이,오이(다다기계통)(100개),중품,100개,"43,500"
8540,AW_A00138,AW_A00138,오이,오이(취청)(50개),상품,50개,"33,700"
8541,AW_A00139,AW_A00139,오이,오이(취청)(50개),중품,50개,"29,200"
8542,AW_A00120,AW_A00120,호박,애호박(20개),상품,20개,"15,200"
8543,AW_A00121,AW_A00121,호박,애호박(20개),중품,20개,"13,200"
8544,AW_A00196,AW_A00196,호박,호박(쥬키니)(10kg),상품,10kg,"11,000"
8545,AW_A00197,AW_A00197,호박,호박(쥬키니)(10kg),중품,10kg,"9,000"
8546,AW_A00156,AW_A00156,토마토,토마토(5kg),상품,5kg,"10,400"
8547,AW_A00157,AW_A00157,토마토,토마토(5kg),중품,5kg,"7,200"
8548,AW_A00048,AW_A00048,딸기,딸기(2kg),상품,2kg,"12,000"
8549,AW_A00049,AW_A00049,딸기,딸기(2kg),중품,2kg,"7,400"
8550,AW_A00066,AW_A00066,무,무(월동)(20kg),상품,20kg,"10,400"
8551,AW_A00067,AW_A00067,무,무(월동)(20kg),중품,20kg,"8,400"
8552,AW_A00039,AW_A00039,당근,당근(무세척)(20kg),상품,20kg,"38,000"
8553,AW_A00040,AW_A00040,당근,당근(무세척)(20kg),중품,20kg,"36,000"
8554,AW_A00041,AW_A00041,당근,당근(세척)(수입),중품,10kg,"11,000"
8555,AW_A00128,AW_A00128,열무,열무(4kg),상품,4kg,"8,500"
8556,AW_A00129,AW_A00129,열무,열무(4kg),중품,4kg,"7,500"
8557,AW_A00016,AW_A00016,건고추,건고추(화건)(30kg),상품,30kg,"600,000"
8558,AW_A00017,AW_A00017,건고추,건고추(화건)(30kg),중품,30kg,"550,000"
8559,AW_A00010,AW_A00010,건고추,건고추(양건)(30kg),상품,30kg,"750,000"
8560,AW_A00011,AW_A00011,건고추,건고추(양건)(30kg),중품,30kg,"700,000"
8561,AW_A00174,AW_A00174,풋고추,풋고추(10kg),상품,10kg,"52,000"
8562,AW_A00175,AW_A00175,풋고추,풋고추(10kg),중품,10kg,"44,000"
8563,AW_A00176,AW_A00176,풋고추,풋고추(꽈리고추)(4kg),상품,4kg,"27,700"
8564,AW_A00177,AW_A00177,풋고추,풋고추(꽈리고추)(4kg),중품,4kg,"23,200"
